标题,链接,发布人,发布日期,附件名称,附件链接,附件下载量
关于做好2025年9月退役复学学生转专业的通知,https://jwch.fzu.edu.cn/info/1012/14194.htm,【教学通知】,2025-09-10,福州大学本科生转专业管理实施办法.docx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16716630,119
关于做好2025年9月退役复学学生转专业的通知,https://jwch.fzu.edu.cn/info/1012/14194.htm,【教学通知】,2025-09-10,福州大学参军退伍复学后学生转专业审批表.doc,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16716625,95
关于举办福州大学第七十四场“教学有道”研讨活动暨2025年教师教学创新大赛培训会的通知,https://jwch.fzu.edu.cn/info/1040/14251.htm,【质量办】,2025-10-13,,,
关于组织2025级新生开展学籍信息自查工作的通知,https://jwch.fzu.edu.cn/info/1036/14245.htm,【教学运行】,2025-10-11,,,
关于举办福州大学第七十三场“教学有道”研讨活动的通知,https://jwch.fzu.edu.cn/info/1040/14235.htm,【质量办】,2025-09-28,,,
关于2025-2026-01学期体育理论教室安排（2025级）的通知,https://jwch.fzu.edu.cn/info/1036/14232.htm,【教学运行】,2025-09-26,,,
关于2025年国庆节、中秋节放假课程调整的通知,https://jwch.fzu.edu.cn/info/1036/14229.htm,【教学运行】,2025-09-24,,,
关于召开2025-2026学年秋季学期期初本科教育教学工作会议的通知,https://jwch.fzu.edu.cn/info/1035/14228.htm,【综合科】,2025-09-23,,,
关于举办2025年福州大学大学生工程实践与创新能力大赛的通知,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14227,【实践科】,2025-09-23,附件1：2025年福州大学大学生工程实践与创新能力大赛组委会成员名单.docx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16720642,89
关于举办2025年福州大学大学生工程实践与创新能力大赛的通知,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14227,【实践科】,2025-09-23,附件2：2025年福州大学大学生工程实践与创新能力大赛报名表.docx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16720643,130
关于举办2025年福州大学大学生工程实践与创新能力大赛的通知,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14227,【实践科】,2025-09-23,附件3：2025年福州大学大学生工程实践与创新能力大赛命题与运行.docx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16720644,298
关于做好2025-2026学年第二学期排课准备工作的通知,https://jwch.fzu.edu.cn/info/1036/14225.htm,【教学运行】,2025-09-22,,,
关于2025-2026学年第一学期重新学习选课、缴费的通知,https://jwch.fzu.edu.cn/info/1036/14224.htm,【教学运行】,2025-09-22,,,
关于2025-2026学年第一学期参加《大学生国家安全教育》课程学习的通知,https://jwch.fzu.edu.cn/info/1038/14223.htm,【计划科】,2025-09-22,超星尔雅使用手册（学生版）.pdf,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16720002,2216
关于通识教育选修课《国际化拔尖创新人才科研训练2025秋》宣讲会及选课的通知,https://jwch.fzu.edu.cn/info/1038/14220.htm,【计划科】,2025-09-19,2025年秋季国际化拔尖创新人才科研训练具体课程清单.xlsx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16719456,1109
关于2025-2026学年第一学期爱课程平台参加通识教育选修课学习的重要提示,https://jwch.fzu.edu.cn/info/1038/14219.htm,【计划科】,2025-09-18,,,
关于开展大学生劳动教育优秀案例征集活动的通知,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14216,【实践科】,2025-09-16,2021-2025年福州大学大学生劳动教育实践基地立项建设名单.docx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16718938,21
关于开展大学生劳动教育优秀案例征集活动的通知,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14216,【实践科】,2025-09-16,附件：福州大学大学生劳动教育优秀案例征集汇总表.docx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16718678,22
关于公布2025-2026学年第一学期通选课取消开课名单的通知,https://jwch.fzu.edu.cn/info/1038/14213.htm,【计划科】,2025-09-15,,,
关于2025级“数智实验班”入选学生名单的公示,https://jwch.fzu.edu.cn/info/1037/14206.htm,【教研教改】,2025-09-12,,,
关于2025级“数理综合班”入选学生名单的公示,https://jwch.fzu.edu.cn/info/1037/14205.htm,【教研教改】,2025-09-12,,,
关于2025级“嘉锡化学拔尖班”入选学生名单的公示,https://jwch.fzu.edu.cn/info/1037/14204.htm,【教研教改】,2025-09-12,,,
关于2025级“数理金融实验班”入选学生名单的公示,https://jwch.fzu.edu.cn/info/1037/14203.htm,【教研教改】,2025-09-12,,,
关于开展福州大学2025年教师教学创新大赛的通知,https://jwch.fzu.edu.cn/info/1040/14202.htm,【质量办】,2025-09-12,附件1-5.zip,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16717599,163
关于公布参加2025级“数智实验班”选拔面试学生名单的通知,https://jwch.fzu.edu.cn/../info/1037/14201.htm,【教研教改】,2025-09-10,,,
关于公布参加2025级“数理综合班”选拔面试学生名单的通知,https://jwch.fzu.edu.cn/../info/1037/14198.htm,【教研教改】,2025-09-10,,,
关于公布参加2025级“数理金融实验班”选拔面试学生名单的通知,https://jwch.fzu.edu.cn/../info/1037/14197.htm,【教研教改】,2025-09-10,,,
关于公布参加2025级“嘉锡化学拔尖班”选拔面试学生名单的通知,https://jwch.fzu.edu.cn/../info/1037/14196.htm,【教研教改】,2025-09-10,,,
关于做好2025年9月退役复学学生转专业的通知,https://jwch.fzu.edu.cn/../info/1036/14199.htm,【教学运行】,2025-09-10,福州大学本科生转专业管理实施办法.docx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16716630,119
关于做好2025年9月退役复学学生转专业的通知,https://jwch.fzu.edu.cn/../info/1036/14199.htm,【教学运行】,2025-09-10,福州大学参军退伍复学后学生转专业审批表.doc,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16716625,95
关于2025-2026第一学期学期选课、辅修选课补退选和缴费的通知,https://jwch.fzu.edu.cn/../info/1036/14191.htm,【教学运行】,2025-09-07,,,
关于2025-2026学年第一学期本科生学生证补办和火车票优惠区间更改的通知,https://jwch.fzu.edu.cn/../info/1035/14190.htm,【综合科】,2025-09-07,,,
关于2025级本科生（含访学学生）学生证信息采集的通知,https://jwch.fzu.edu.cn/../info/1035/14186.htm,【综合科】,2025-09-07,,,
关于开展2025年秋季学期申请类督导听课工作的通知,https://jwch.fzu.edu.cn/../info/1040/14187.htm,【质量办】,2025-09-06,附件：2025年秋季学期申请类督导听课汇总表.docx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714968,54
关于开展2025年工程教育专业认证申请工作的通知,https://jwch.fzu.edu.cn/../info/1040/14188.htm,【质量办】,2025-09-06,附件3 工程教育认证申请书（2025版）修订说明.pdf,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714969,53
关于开展2025年工程教育专业认证申请工作的通知,https://jwch.fzu.edu.cn/../info/1040/14188.htm,【质量办】,2025-09-06,附件2 工程教育认证申请书（2025版）.docx,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714970,72
关于开展2025年工程教育专业认证申请工作的通知,https://jwch.fzu.edu.cn/../info/1040/14188.htm,【质量办】,2025-09-06,附件1 2025年接受认证申请的专业领域及专业一览表.pdf,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714971,76
关于开学第一周集中听课的通知,https://jwch.fzu.edu.cn/../info/1040/14189.htm,【质量办】,2025-09-06,附件1：福州大学课堂教学质量评估表.doc,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16714972,48
